AAP_Share_D         : 55254206302462116
VAKAR_Share_D       : 47996917271187218
VAKHARAZM_Share_D   : 7395271748414592
VAKHAVAR_Share_D    : 47333458678352378
VAKOSAR_Share_D     : deleted
VALANA_Share_D      : 66830065858417081
VALBER_Share_D      : 57944184894703821
VALEBAHMAN_Share_D  : 48287670503317419
VALEMELLAT_Share_D  : 11403770140000603
VALERAZ_Share_D     : 12901875871456398
VALESANAM_Share_D   : 71744682148776880
VALESAPA_Share_D    : 45174198424472334
VALESHARGH_Share_D  : 31078457170311964
VALETOJAR_Share_D   : 34621618468546063
VALGHADR_Share_D    : 23086515493897579
VALIZ_Share_D       : 20946530370469828
VAMAADEN_Share_D    : 58931793851445922
VAMEHR_Share_D      : deleted
VAMELAT_Share_D     : 10055255678920880
VAMELLAL_Share_D    : 24644999329120295
VAMELLI_Share_D     : 41796741644273824
VAMOALEM_Share_D    : 6847536925606808
VAMOSHAN_Share_D    : 35369183060321179
VANAFT_Share_D      : 33931218652865616
VANIKI_Share_D      : 25336820825905643
VANIROO_Share_D     : 62603302940123327
VANOR_Share_D       : deleted
VANOVIN_Share_D     : 47302318535715632
VAOMID_Share_D      : 52232388263291380
VAPAKHSH_Share_D    : 7183333492448248
VAPARS_Share_D      : 33293588228706998
VAPASAR_Share_D     : 9536587154100457
VAPETRO_Share_D     : 59486059679335017
VAPOST_Share_D      : 22087269603540841
VAPSA_Share_D       : 11560002870991149
VARAZI_Share_D      : 60079434631497942
VARDEL_Share_D      : deleted
VARENA_Share_D      : 7385624172574740
VASADID_Share_D     : 41713045190742691
VASAKAB_Share_D     : 11258722998911897
VASAKHOZ_Share_D    : 40043919653526083
VASAKHT_Share_D     : 25514780181345713
VASALAT_Share_D     : 23175320865252772
VASAMEN_Share_D     : deleted
VASANA_Share_D      : 24662567615903665
VASANAT_Share_D     : 57309221039930244
VASANDOGH_Share_D   : 37204371816016200
VASAPA_Share_D      : 37614886280396031
VASARMAD_Share_D    : 43291783149314349
VASEKAB_Share_D     : 11258722998911897
VASENO_Share_D      : 44986797317463049
VASEPAH_Share_D     : 2328862017676109
VASHAHR_Share_D     : 41379697187196382
